booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
1,189314,4,3,2/4/2017,2/5/2017,1,252,3160,669,1/31/2017
2,46268,4,3,1/27/2017,1/28/2017,1,252,1893,481,1/27/2017
3,55271,3,2,1/25/2017,1/26/2017,1,252,2188,463,1/25/2017
4,170766,4,3,1/26/2017,1/27/2017,1,252,3054,646,1/26/2017
5,170766,4,3,1/26/2017,1/28/2017,1,252,6107,1293,1/25/2017
6,170766,4,3,1/26/2017,1/29/2017,1,252,9614,2441,1/23/2017
7,182276,0,2,1/24/2017,1/25/2017,1,252,1980,436,1/24/2017
8,74628,4,3,2/9/2017,2/10/2017,1,252,3054,646,1/10/2017
9,122584,4,2,2/6/2017,2/8/2017,1,571,10397,2200,1/25/2017
10,170174,4,3,2/14/2017,2/16/2017,1,571,8967,1898,1/28/2017
11,77745,3,2,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017
12,77745,3,3,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017
13,77745,3,3,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017
14,55369,4,3,2/13/2017,2/15/2017,1,109,7927,1678,1/6/2017
15,42531,4,2,1/9/2017,1/10/2017,1,109,1949,1100,1/9/2017
16,60231,4,2,1/8/2017,1/9/2017,1,109,1949,1100,1/8/2017
17,66762,4,2,1/7/2017,1/8/2017,1,109,3509,743,1/1/2017
18,161206,4,2,1/3/2017,1/4/2017,1,109,2859,605,1/2/2017
19,3452,3,2,2/10/2017,2/12/2017,1,88,5977,1265,1/31/2017
20,193036,3,3,2/10/2017,2/13/2017,1,88,9075,1920,1/15/2017
21,193036,3,3,2/8/2017,2/12/2017,1,88,12100,2560,1/14/2017
22,42387,4,2,1/24/2017,1/25/2017,1,88,2474,524,1/23/2017
23,42387,2,2,1/22/2017,1/24/2017,1,88,4802,1016,1/16/2017
24,151804,4,3,1/21/2017,1/22/2017,1,88,3236,684,1/21/2017
25,62642,4,2,1/19/2017,1/21/2017,1,88,5002,1058,1/19/2017
26,127850,4,3,1/14/2017,1/15/2017,1,88,1905,403,1/14/2017
27,193036,3,2,1/11/2017,1/13/2017,1,88,6092,1289,1/9/2017
28,42387,1,2,1/9/2017,1/11/2017,1,88,4077,1035,1/3/2017
29,68800,1,3,1/4/2017,1/6/2017,1,88,6510,1652,1/3/2017
30,148431,4,2,1/7/2017,1/8/2017,1,755,4224,1073,1/7/2017
31,120371,4,2,1/2/2017,1/3/2017,1,755,3184,809,1/2/2017
32,98294,3,2,1/31/2017,2/1/2017,1,859,1949,413,1/31/2017
33,172653,4,3,1/15/2017,1/16/2017,1,859,1689,358,1/15/2017
34,49442,3,2,1/5/2017,1/6/2017,1,859,2144,545,1/5/2017
35,112916,4,2,1/26/2017,1/28/2017,1,232,7093,1500,1/22/2017
36,78646,1,2,1/27/2017,1/28/2017,1,232,2903,614,1/26/2017
37,46608,4,2,1/22/2017,1/23/2017,1,232,3271,831,1/22/2017
38,169327,3,2,1/20/2017,1/22/2017,1,232,6482,1372,1/16/2017
