booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
1001,32661,4,2,2/19/2017,2/20/2017,1,252,2506,530,2/19/2017
1002,77901,1,2,2/17/2017,2/18/2017,1,252,2573,545,2/14/2017
1003,36635,4,2,2/16/2017,2/17/2017,1,252,2616,553,2/15/2017
1004,36635,4,2,2/14/2017,2/16/2017,1,252,5478,1159,2/11/2017
1005,193104,4,2,2/12/2017,2/14/2017,1,252,5502,1164,2/12/2017
1006,77745,3,3,3/11/2017,3/14/2017,1,571,14750,3121,2/28/2017
1007,170174,4,2,2/16/2017,2/17/2017,1,571,3769,798,2/16/2017
1008,170174,0,2,2/14/2017,2/16/2017,1,571,8382,1844,2/11/2017
1009,164004,2,2,2/12/2017,2/13/2017,1,571,4614,976,2/12/2017
1010,122584,4,2,2/8/2017,2/11/2017,1,571,12539,2652,2/7/2017
1011,66762,4,3,3/4/2017,3/5/2017,1,109,3184,673,2/26/2017
1012,145104,4,2,2/18/2017,2/19/2017,1,109,2859,605,2/18/2017
1013,66762,4,2,2/15/2017,2/16/2017,1,109,2664,563,2/13/2017
1014,106508,4,2,2/13/2017,2/14/2017,1,109,2664,563,2/13/2017
1015,73210,3,2,2/11/2017,2/12/2017,1,109,4354,921,2/11/2017
1016,66762,4,3,2/11/2017,2/12/2017,1,109,3639,770,2/2/2017
1017,52850,4,2,2/6/2017,2/10/2017,1,109,14149,2993,2/5/2017
1018,20855,0,2,2/6/2017,2/7/2017,1,109,2534,558,2/6/2017
1019,20855,3,3,2/6/2017,2/7/2017,1,109,2534,536,2/6/2017
1020,161206,4,2,2/28/2017,3/1/2017,1,109,2924,618,2/27/2017
1021,106508,4,2,2/26/2017,2/27/2017,1,109,2664,563,2/26/2017
1022,86029,3,2,2/25/2017,2/26/2017,1,109,3769,798,2/25/2017
1023,193036,3,3,3/6/2017,3/8/2017,1,88,5580,1180,2/20/2017
1024,9197,4,3,3/3/2017,3/5/2017,1,88,6388,1352,2/24/2017
1025,193036,3,3,3/4/2017,3/8/2017,1,88,11575,2449,2/23/2017
1026,47963,3,2,2/21/2017,2/22/2017,1,88,2349,497,2/21/2017
1027,47963,3,2,2/20/2017,2/21/2017,1,88,1837,388,2/20/2017
1028,193036,3,2,2/8/2017,2/13/2017,1,88,15087,3191,2/7/2017
1029,27876,4,2,2/10/2017,2/11/2017,1,88,2283,483,2/10/2017
1030,151259,4,3,2/7/2017,2/8/2017,1,88,2913,739,2/7/2017
1031,24582,4,2,2/4/2017,2/6/2017,1,88,4966,1051,2/3/2017
1032,144909,4,3,2/11/2017,2/12/2017,1,755,4289,908,2/9/2017
1033,154812,2,3,2/9/2017,2/10/2017,1,859,1494,316,2/9/2017
1034,105919,0,3,2/19/2017,2/20/2017,2,232,5533,1218,2/18/2017
1035,123102,4,2,2/5/2017,2/6/2017,1,232,1836,388,2/5/2017
1036,187153,4,2,2/3/2017,2/5/2017,1,232,5962,1514,2/2/2017
1037,98294,3,3,2/10/2017,2/11/2017,1,195,2404,508,2/10/2017
1038,192119,3,2,2/4/2017,2/5/2017,1,195,1819,385,2/2/2017
1039,192914,3,2,2/16/2017,2/17/2017,1,468,3249,825,2/16/2017
1040,135672,4,3,2/12/2017,2/13/2017,1,468,3184,673,2/12/2017
1041,46097,4,2,2/3/2017,2/5/2017,1,194,5132,1302,2/2/2017
1042,19943,1,2,3/3/2017,3/4/2017,1,684,3574,756,2/26/2017
1043,66598,3,2,2/27/2017,2/28/2017,1,160,3184,673,2/27/2017
1044,125092,3,2,2/27/2017,2/28/2017,1,160,2664,563,2/26/2017
1045,67529,4,2,3/4/2017,3/5/2017,1,486,2664,677,2/28/2017
1046,46444,0,3,3/4/2017,3/8/2017,1,486,11435,2516,2/3/2017
1047,141430,4,3,2/27/2017,2/28/2017,1,486,2209,561,2/27/2017
