booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
2001,189314,4,3,4/2/2017,4/3/2017,1,252,3215,680,3/26/2017
2002,77901,4,2,4/1/2017,4/2/2017,1,252,2675,567,3/31/2017
2003,199763,4,3,3/24/2017,3/25/2017,1,252,2652,561,3/24/2017
2004,162631,0,2,3/21/2017,3/22/2017,1,252,3366,740,3/20/2017
2005,119697,2,2,3/17/2017,3/18/2017,2,252,6399,1354,3/17/2017
2006,189314,4,4,3/4/2017,3/5/2017,1,252,3237,685,3/3/2017
2007,89798,4,2,3/30/2017,4/2/2017,1,571,13190,3348,3/27/2017
2008,61516,4,2,3/17/2017,3/18/2017,1,571,4126,873,3/16/2017
2009,77745,3,2,3/13/2017,3/14/2017,1,571,3834,811,3/9/2017
2010,164004,3,2,3/12/2017,3/13/2017,1,571,3834,811,3/12/2017
2011,122584,4,2,3/10/2017,3/11/2017,1,571,4224,893,3/9/2017
2012,77745,3,3,3/10/2017,3/13/2017,1,571,12995,2749,3/7/2017
2013,77745,3,3,3/10/2017,3/13/2017,1,571,12281,2598,3/8/2017
2014,122584,4,2,3/6/2017,3/8/2017,1,571,5067,1073,3/4/2017
2015,77745,3,3,3/10/2017,3/13/2017,1,571,12539,2652,3/6/2017
2016,77745,3,3,3/11/2017,3/13/2017,1,571,9357,1980,3/3/2017
2017,66762,4,2,4/1/2017,4/2/2017,1,109,3249,688,3/26/2017
2018,66762,4,2,3/18/2017,3/19/2017,1,109,3119,660,3/14/2017
2019,142194,4,3,3/11/2017,3/12/2017,1,109,3119,660,3/4/2017
2020,66762,4,2,3/4/2017,3/5/2017,1,109,3119,660,3/4/2017
2021,193036,3,3,3/24/2017,3/27/2017,1,88,11372,2406,3/21/2017
2022,193036,3,3,4/7/2017,4/10/2017,1,88,11076,2343,3/22/2017
2023,57835,1,2,3/15/2017,3/17/2017,1,88,6427,1360,3/10/2017
2024,193036,3,2,3/10/2017,3/12/2017,1,88,6492,1374,3/9/2017
2025,42387,1,2,3/10/2017,3/11/2017,1,88,2568,543,3/6/2017
2026,193036,3,2,3/9/2017,3/10/2017,1,88,2561,542,3/8/2017
2027,193036,3,3,3/6/2017,3/12/2017,1,88,17893,3785,3/2/2017
2028,175955,4,2,3/2/2017,3/3/2017,1,88,2560,541,3/2/2017
2029,193036,3,2,3/6/2017,3/9/2017,1,88,8822,1867,3/4/2017
2030,144909,4,2,3/11/2017,3/13/2017,1,755,8057,1705,3/1/2017
2031,128934,4,2,3/22/2017,3/24/2017,1,859,3897,825,3/22/2017
2032,26893,0,4,3/13/2017,3/14/2017,1,859,1559,343,3/13/2017
2033,53047,4,2,3/8/2017,3/9/2017,1,859,1624,343,3/8/2017
2034,171586,1,2,3/15/2017,3/16/2017,1,232,2040,431,3/14/2017
2035,22534,3,2,3/8/2017,3/9/2017,1,232,3032,641,3/8/2017
2036,93174,3,2,3/7/2017,3/8/2017,1,232,2181,462,3/7/2017
2037,22534,3,2,3/6/2017,3/8/2017,1,232,4007,848,3/6/2017
2038,175955,4,2,3/28/2017,3/29/2017,1,195,2022,428,3/28/2017
2039,175955,4,2,3/13/2017,3/14/2017,1,195,2392,506,3/13/2017
2040,47628,4,2,3/8/2017,3/9/2017,1,195,2285,580,3/8/2017
2041,100771,3,2,3/7/2017,3/8/2017,1,195,2674,565,3/6/2017
2042,187466,4,2,3/5/2017,3/6/2017,1,195,1997,422,3/4/2017
2043,189081,3,3,3/6/2017,3/7/2017,1,195,2722,576,3/6/2017
2044,175582,1,2,3/4/2017,3/5/2017,1,195,2365,501,3/3/2017
2045,21196,3,2,3/3/2017,3/4/2017,1,195,2540,538,3/3/2017
2046,21196,3,3,3/3/2017,3/4/2017,1,195,1859,394,3/3/2017
2047,188210,4,2,3/2/2017,3/3/2017,1,195,1386,352,3/2/2017
2048,100771,3,2,3/1/2017,3/2/2017,1,195,2014,426,3/1/2017
2049,102620,4,2,3/9/2017,3/10/2017,1,195,3374,857,3/9/2017
2050,47827,3,2,3/27/2017,3/28/2017,1,468,2491,527,3/27/2017
2051,183383,3,2,3/31/2017,4/1/2017,1,468,2924,618,3/31/2017
2052,183383,3,2,3/30/2017,3/31/2017,1,468,2924,618,3/30/2017
2053,122286,3,2,3/11/2017,3/12/2017,1,468,2989,633,3/11/2017
2054,122286,3,3,3/12/2017,3/13/2017,1,468,3119,660,3/11/2017
2055,161917,4,2,3/23/2017,3/24/2017,1,468,2491,527,3/23/2017
2056,185451,3,3,3/21/2017,3/22/2017,1,468,2166,459,3/19/2017
2057,172023,3,3,3/18/2017,3/19/2017,1,152,2664,563,3/13/2017
2058,192119,3,2,4/1/2017,4/2/2017,1,194,2079,440,3/29/2017
2059,172023,3,2,3/24/2017,3/26/2017,1,194,4677,990,3/18/2017
2060,58266,4,2,3/18/2017,3/19/2017,1,194,2339,495,3/9/2017
2061,172023,3,2,3/18/2017,3/19/2017,1,194,2404,508,3/14/2017
2062,112916,4,2,3/10/2017,3/11/2017,1,194,2274,481,3/9/2017
